,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,Year,State
515,Chipping Sparrow,Spizella passerina,2018-09-26 17:09,"Rocky Hollow Rd (SR 739), Troutdale, VA (36.669,-81.407)",3,36.6687546,-81.4065939,2018,US-VA
516,Blue Grosbeak,Passerina caerulea,2018-09-26 17:09,"Rocky Hollow Rd (SR 739), Troutdale, VA (36.669,-81.407)",1,36.6687546,-81.4065939,2018,US-VA
517,Magnolia Warbler,Setophaga magnolia,2018-09-26 17:00,Rugby Avenue,1,38.0451508,-78.4815753,2018,US-VA
518,European Starling,Sturnus vulgaris,2018-09-26 16:55,S Arlington Mill Dr,27,38.843792,-77.091243,2018,US-VA
519,Common Grackle,Quiscalus quiscula,2018-09-26 16:55,S Arlington Mill Dr,2,38.843792,-77.091243,2018,US-VA
520,Red-breasted Nuthatch,Sitta canadensis,2018-09-26 16:50,Flint Hill and Oak Marr,6,38.872993,-77.321434,2018,US-VA
521,Yellow-billed Cuckoo,Coccyzus americanus,2018-09-26 16:49,Home,1,38.6839018,-77.2728539,2018,US-VA
522,Mute Swan,Cygnus olor,2018-09-26 16:38,Newport News Park,1,37.1802,-76.5476,2018,US-VA
523,American Black Duck,Anas rubripes,2018-09-26 16:38,Newport News Park,1,37.1802,-76.5476,2018,US-VA
524,Pectoral Sandpiper,Calidris melanotos,2018-09-26 16:38,Newport News Park,1,37.1802,-76.5476,2018,US-VA
525,Swamp Sparrow,Melospiza georgiana,2018-09-26 16:30,Waples Mill Meadow Park,1,38.8742334,-77.3392063,2018,US-VA
526,Fish Crow,Corvus ossifragus,2018-09-26 16:18,Morven Park,3,39.1376666,-77.5729287,2018,US-VA
527,crow sp.,Corvus sp. (crow sp.),2018-09-26 16:18,Morven Park,2,39.1376666,-77.5729287,2018,US-VA
528,Northern Parula,Setophaga americana,2018-09-26 16:18,Morven Park,1,39.1376666,-77.5729287,2018,US-VA
529,Worm-eating Warbler,Helmitheros vermivorum,2018-09-26 16:00,"Culpeper County, VA - Curling Creek Upland including Curling Creek Lane border, Rixeyville VA",2,38.5755815,-78.0879879,2018,US-VA
530,Blackpoll Warbler,Setophaga striata,2018-09-26 16:00,"Culpeper County, VA - Curling Creek Upland including Curling Creek Lane border, Rixeyville VA",2,38.5755815,-78.0879879,2018,US-VA
531,Northern Shoveler,Spatula clypeata,2018-09-26 15:41,Silver Lake,2,38.4231295,-78.9399259,2018,US-VA
532,Ring-necked Duck,Aythya collaris,2018-09-26 15:41,Silver Lake,1,38.4231295,-78.9399259,2018,US-VA
533,Ruddy Duck,Oxyura jamaicensis,2018-09-26 15:41,Silver Lake,2,38.4231295,-78.9399259,2018,US-VA
534,Pied-billed Grebe,Podilymbus podiceps,2018-09-26 15:41,Silver Lake,1,38.4231295,-78.9399259,2018,US-VA
535,Rock Pigeon,Columba livia,2018-09-26 15:41,Silver Lake,11,38.4231295,-78.9399259,2018,US-VA
536,Nashville Warbler,Leiothlypis ruficapilla,2018-09-26 15:20,VB Yard,1,36.7666155,-76.0250473,2018,US-VA
537,Sharp-shinned Hawk,Accipiter striatus,2018-09-26 15:15,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",1,38.5756822,-78.1044245,2018,US-VA
538,Prothonotary Warbler,Protonotaria citrea,2018-09-26 15:15,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",1,38.5756822,-78.1044245,2018,US-VA
539,Buteo sp.,Buteo sp.,2018-09-26 14:50,Private Property 22701,2,38.49744,-77.978959,2018,US-VA
540,Swainson's Thrush,Catharus ustulatus,2018-09-26 14:46,Mint Springs Valley Park,1,38.0826895,-78.7308598,2018,US-VA
541,Common Raven,Corvus corax,2018-09-26 14:15,VA RESTON Sheraton Reston,1,38.9502187,-77.3542514,2018,US-VA
542,Black-crowned Night-Heron,Nycticorax nycticorax,2018-09-26 14:12,Cheriton Landfill,14,37.2993791,-75.9288043,2018,US-VA
543,Brown-headed Cowbird,Molothrus ater,2018-09-26 14:12,Cheriton Landfill,1,37.2993791,-75.9288043,2018,US-VA
544,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2018-09-26 13:59,**HUNTLEY MEADOWS PARK,1,38.7576451,-77.0984124,2018,US-VA
545,Ruddy Turnstone,Arenaria interpres,2018-09-26 13:22,Willis Wharf,19,37.5118393,-75.8065867,2018,US-VA
546,Willet,Tringa semipalmata,2018-09-26 13:22,Willis Wharf,7,37.5118393,-75.8065867,2018,US-VA
547,Cape May Warbler,Setophaga tigrina,2018-09-26 13:05,"1016 Narrow Path, Fort Valley, Virginia, US (38.794, -78.482)",3,38.794499,-78.4815474,2018,US-VA
548,Black-throated Blue Warbler,Setophaga caerulescens,2018-09-26 13:05,"1016 Narrow Path, Fort Valley, Virginia, US (38.794, -78.482)",1,38.794499,-78.4815474,2018,US-VA
549,Brown-headed Nuthatch,Sitta pusilla,2018-09-26 13:03,Home 3137 Sand Pine Rd Home,2,36.907211,-76.081957,2018,US-VA
550,Sora,Porzana carolina,2018-09-26 13:00,Roanoke Sewage Treatment Plant,1,37.2648403,-79.9102485,2018,US-VA
551,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),2018-09-26 12:17,Mountain Run Lake Park,1,38.4793,-78.0694,2018,US-VA
552,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2018-09-26 12:17,Mountain Run Lake Park,25,38.4793,-78.0694,2018,US-VA
553,hawk sp.,Accipitridae sp. (hawk sp.),2018-09-26 12:17,Mountain Run Lake Park,20,38.4793,-78.0694,2018,US-VA
554,White-eyed Vireo,Vireo griseus,2018-09-26 12:17,Mountain Run Lake Park,1,38.4793,-78.0694,2018,US-VA
555,thrush sp.,Turdidae sp.,2018-09-26 12:17,Mountain Run Lake Park,1,38.4793,-78.0694,2018,US-VA
556,Black-and-white Warbler,Mniotilta varia,2018-09-26 12:08,Colonial Williamsburg,1,37.2723415,-76.7006765,2018,US-VA
557,Sanderling,Calidris alba,2018-09-26 11:48,Assateague Island,1,37.8872945,-75.3440039,2018,US-VA
558,Ovenbird,Seiurus aurocapilla,2018-09-26 11:46,"Home: Osceola Springs Rd, Harrisonburg, VA",1,38.3882094,-78.8622793,2018,US-VA
559,Tricolored Heron,Egretta tricolor,2018-09-26 11:32,Assateague Beach Access Road,2,37.9052364,-75.3621575,2018,US-VA
560,Yellow-rumped Warbler,Setophaga coronata,2018-09-26 11:11,Shenstone Drive,1,38.4570166,-78.89323,2018,US-VA
561,Empidonax sp.,Empidonax sp.,2018-09-26 11:10,Keatoctin Hollow,1,39.149289,-77.575953,2018,US-VA
562,Golden-winged Warbler,Vermivora chrysoptera,2018-09-26 11:00,Silver Field,1,36.8896437,-82.7098846,2018,US-VA
563,Sandwich Tern,Thalasseus sandvicensis,2018-09-26 10:56,Wire Narrows Marsh,2,37.9369885,-75.4006183,2018,US-VA
564,warbler sp. (Parulidae sp.),Parulidae sp.,2018-09-26 10:55,Petersburg National Battlefield--Park Tour Road (City of Petersburg),2,37.232034,-77.357274,2018,US-VA
565,Forster's Tern,Sterna forsteri,2018-09-26 10:41,Queen Sound Landing,2,37.9349238,-75.4197639,2018,US-VA
566,Boat-tailed Grackle,Quiscalus major,2018-09-26 10:41,Queen Sound Landing,2,37.9349238,-75.4197639,2018,US-VA
567,Brant,Branta bernicla,2018-09-26 10:40,Chincoteague NWR--Toms Cove,5,37.8774164,-75.3553805,2018,US-VA
568,American Oystercatcher,Haematopus palliatus,2018-09-26 10:40,Chincoteague NWR--Toms Cove,5,37.8774164,-75.3553805,2018,US-VA
569,Black-bellied Plover,Pluvialis squatarola,2018-09-26 10:40,Chincoteague NWR--Toms Cove,7,37.8774164,-75.3553805,2018,US-VA
570,Semipalmated Plover,Charadrius semipalmatus,2018-09-26 10:40,Chincoteague NWR--Toms Cove,12,37.8774164,-75.3553805,2018,US-VA
571,Piping Plover,Charadrius melodus,2018-09-26 10:40,Chincoteague NWR--Toms Cove,2,37.8774164,-75.3553805,2018,US-VA
572,Marbled Godwit,Limosa fedoa,2018-09-26 10:40,Chincoteague NWR--Toms Cove,1,37.8774164,-75.3553805,2018,US-VA
573,Semipalmated Sandpiper,Calidris pusilla,2018-09-26 10:40,Chincoteague NWR--Toms Cove,6,37.8774164,-75.3553805,2018,US-VA
574,Western Sandpiper,Calidris mauri,2018-09-26 10:40,Chincoteague NWR--Toms Cove,1,37.8774164,-75.3553805,2018,US-VA
575,Lesser Black-backed Gull,Larus fuscus,2018-09-26 10:40,Chincoteague NWR--Toms Cove,8,37.8774164,-75.3553805,2018,US-VA
576,Gull-billed Tern,Gelochelidon nilotica,2018-09-26 10:40,Chincoteague NWR--Toms Cove,1,37.8774164,-75.3553805,2018,US-VA
577,Brown Pelican,Pelecanus occidentalis,2018-09-26 10:40,Chincoteague NWR--Toms Cove,6,37.8774164,-75.3553805,2018,US-VA
578,Peregrine Falcon,Falco peregrinus,2018-09-26 10:35,White House Lane,4,36.8765928,-76.1435151,2018,US-VA
579,Hooded Warbler,Setophaga citrina,2018-09-26 10:30,Monticello Park,1,38.8331055,-77.0700252,2018,US-VA
580,White Ibis,Eudocimus albus,2018-09-26 10:22,Mosquito Creek Bridge--Hwy 175,3,37.9419638,-75.446763,2018,US-VA
581,vireo sp.,Vireo sp.,2018-09-26 10:10,Princess Anne,1,36.7491999,-76.0640964,2018,US-VA
582,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),2018-09-26 10:04,Rural Retreat Lake,1,36.8654333,-81.2881637,2018,US-VA
583,Clapper Rail,Rallus crepitans,2018-09-26 10:03,Queen Sound Landing,4,37.9349238,-75.4197639,2018,US-VA
584,Blackburnian Warbler,Setophaga fusca,2018-09-26 10:00,US-VA-Front Royal-154 Remount View Rd - 38.8713x-78.1538,1,38.871326,-78.15376,2018,US-VA
585,American Bittern,Botaurus lentiginosus,2018-09-26 09:49,"Private Location (locked gate) (38.6090,-78.1111)",1,38.608983,-78.111059,2018,US-VA
586,Black-billed Cuckoo,Coccyzus erythropthalmus,2018-09-26 09:45,Mill Place Commerce Park,1,38.1911428,-79.0013981,2018,US-VA
587,Red-headed Woodpecker,Melanerpes erythrocephalus,2018-09-26 09:45,Caledon State Park,2,38.3350923,-77.1437001,2018,US-VA
588,Barn Swallow,Hirundo rustica,2018-09-26 09:45,Mill Place Commerce Park,2,38.1911428,-79.0013981,2018,US-VA
589,Brown Creeper,Certhia americana,2018-09-26 09:45,Mill Place Commerce Park,1,38.1911428,-79.0013981,2018,US-VA
590,Field Sparrow,Spizella pusilla,2018-09-26 09:45,Mill Place Commerce Park,1,38.1911428,-79.0013981,2018,US-VA
591,Eastern Screech-Owl,Megascops asio,2018-09-26 09:30,"My Yard (Georgia Street, Blacksburg, VA)",1,37.2494268,-80.4072618,2018,US-VA
592,Yellow-bellied Sapsucker,Sphyrapicus varius,2018-09-26 09:30,The Rivanna Trail--Belvedere,1,38.079331,-78.448863,2018,US-VA
593,Chestnut-sided Warbler,Setophaga pensylvanica,2018-09-26 09:30,The Rivanna Trail--Belvedere,1,38.079331,-78.448863,2018,US-VA
594,Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,2018-09-26 09:15,Silver Lake,1,38.4231295,-78.9399259,2018,US-VA
595,woodpecker sp.,Picidae sp.,2018-09-26 09:00,Shenandoah NP--Fox Hollow Trail,1,38.8738283,-78.2033443,2018,US-VA
596,Dark-eyed Junco,Junco hyemalis,2018-09-26 09:00,Shenandoah NP--Fox Hollow Trail,1,38.8738283,-78.2033443,2018,US-VA
597,Lark Sparrow,Chondestes grammacus,2018-09-26 08:47,Eastern Shore of Virginia NWR,1,37.1353322,-75.9615377,2018,US-VA
598,Blue-gray Gnatcatcher,Polioptila caerulea,2018-09-26 08:30,dan river near milton n.c.,2,36.5426135,-79.2147034,2018,US-VA
599,Eastern Meadowlark,Sturnella magna,2018-09-26 08:30,dan river near milton n.c.,1,36.5426135,-79.2147034,2018,US-VA
600,blackbird sp.,Icteridae sp.,2018-09-26 08:30,dan river near milton n.c.,4,36.5426135,-79.2147034,2018,US-VA
601,Acadian Flycatcher,Empidonax virescens,2018-09-26 08:22,Greensprings Interpretive Trail,1,37.2510421,-76.7914234,2018,US-VA
602,Yellow-throated Vireo,Vireo flavifrons,2018-09-26 08:20,Ivanhoe  I - Riverview & Shady River Roads,1,36.8404953,-80.9538852,2018,US-VA
603,Yellow-throated Warbler,Setophaga dominica,2018-09-26 08:20,Ivanhoe  I - Riverview & Shady River Roads,1,36.8404953,-80.9538852,2018,US-VA
604,American Golden-Plover,Pluvialis dominica,2018-09-26 08:12,Lumber Mill Rd,4,38.438991,-79.0023642,2018,US-VA
605,Philadelphia Vireo,Vireo philadelphicus,2018-09-26 07:50,Occoquan Bay NWR,1,38.6455061,-77.2361183,2018,US-VA
606,Baltimore Oriole,Icterus galbula,2018-09-26 07:48,Pickett's Harbor Natural Area Preserve (restricted access),1,37.194852,-76.0045338,2018,US-VA
607,Great Crested Flycatcher,Myiarchus crinitus,2018-09-26 07:34,**BACK BAY NWR,1,36.672127,-75.915661,2018,US-VA
608,Clay-colored Sparrow,Spizella pallida,2018-09-26 07:34,**BACK BAY NWR,3,36.672127,-75.915661,2018,US-VA
609,American Avocet,Recurvirostra americana,2018-09-26 07:30,Saxis WMA--Saxis Road,2,37.9307943,-75.7099628,2018,US-VA
610,Downy/Hairy Woodpecker,Dryobates pubescens/villosus,2018-09-26 07:15,"King Carter & Vicksburg, Manassas, 20110",1,38.7725045,-77.4640846,2018,US-VA
611,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,2018-09-26 07:15,Davis-Mills Farm,1,38.980228,-78.535995,2018,US-VA
612,wren sp.,Troglodytidae sp.,2018-09-26 07:15,"King Carter & Vicksburg, Manassas, 20110",1,38.7725045,-77.4640846,2018,US-VA
613,Prairie Warbler,Setophaga discolor,2018-09-26 07:10,Bayville Park,1,36.904527,-76.121428,2018,US-VA
614,swallow sp.,Hirundinidae sp.,2018-09-26 06:52,US-VA-Bridgewater-306 E College St,3,38.3795089,-78.9725067,2018,US-VA
615,Gray-cheeked Thrush,Catharus minimus,2018-09-26 06:50,Home,1,37.6161351,-79.0797615,2018,US-VA
616,Wilson's Plover,Charadrius wilsonia,2018-09-26 06:45,**CHINCOTEAGUE NWR,1,37.9106228,-75.3479719,2018,US-VA
617,Least Sandpiper,Calidris minutilla,2018-09-26 06:45,**CHINCOTEAGUE NWR,1,37.9106228,-75.3479719,2018,US-VA
618,jaeger sp.,Stercorarius sp. (jaeger sp.),2018-09-26 06:32,85th Street Beach,2,36.9104643,-75.9914124,2018,US-VA
619,tern sp.,Sterninae sp.,2018-09-26 06:32,85th Street Beach,45,36.9104643,-75.9914124,2018,US-VA
620,Black Skimmer,Rynchops niger,2018-09-26 06:32,85th Street Beach,12,36.9104643,-75.9914124,2018,US-VA
621,Chuck-will's-widow,Antrostomus carolinensis,2018-09-26 05:44,"3720 Willow Street, Chincoteague Island, Virginia, US (37.931, -75.374)",1,37.9307331,-75.3742344,2018,US-VA
622,Great Horned Owl,Bubo virginianus,2018-09-26 02:00,Chinco Wallops marsh,2,37.9519091,-75.4307995,2018,US-VA
623,Northern Pintail,Anas acuta,2018-09-26,Bull's Drive,1,37.1509466,-75.9640903,2018,US-VA
624,Tennessee Warbler,Leiothlypis peregrina,2018-09-26,Davis-Mills Farm,1,38.980228,-78.535995,2018,US-VA
625,Eastern Screech-Owl,Megascops asio,2017-09-26 20:30,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",1,38.5756822,-78.1044245,2017,US-VA
626,Eastern Phoebe,Sayornis phoebe,2017-09-26 19:15,Spears Farm (private),1,37.5502148,-78.3701885,2017,US-VA
627,Northern Cardinal,Cardinalis cardinalis,2017-09-26 19:15,Spears Farm (private),2,37.5502148,-78.3701885,2017,US-VA
628,Common Nighthawk,Chordeiles minor,2017-09-26 18:50,Sweetlands yard,2,37.8247008,-79.3089938,2017,US-VA
629,Chimney Swift,Chaetura pelagica,2017-09-26 18:50,Sweetlands yard,1,37.8247008,-79.3089938,2017,US-VA
630,Northern Bobwhite,Colinus virginianus,2017-09-26 18:40,"Mount Crawford, 2630-2908 Fairview Road",4,38.33004,-78.90951,2017,US-VA
631,Pileated Woodpecker,Dryocopus pileatus,2017-09-26 18:33,Spears Farm (private),2,37.5502148,-78.3701885,2017,US-VA
632,Northern Flicker,Colaptes auratus,2017-09-26 18:33,Spears Farm (private),1,37.5502148,-78.3701885,2017,US-VA
633,Carolina Wren,Thryothorus ludovicianus,2017-09-26 18:33,Spears Farm (private),1,37.5502148,-78.3701885,2017,US-VA
634,Osprey,Pandion haliaetus,2017-09-26 18:25,"Home: Osceola Springs Rd, Harrisonburg, VA",1,38.3882094,-78.8622793,2017,US-VA
635,Blue Jay,Cyanocitta cristata,2017-09-26 18:20,Dillwyn--Downtown,1,37.54291,-78.4586692,2017,US-VA
636,American Crow,Corvus brachyrhynchos,2017-09-26 18:20,Dillwyn--Downtown,3,37.54291,-78.4586692,2017,US-VA
637,House Sparrow,Passer domesticus,2017-09-26 18:20,Dillwyn--Downtown,9,37.54291,-78.4586692,2017,US-VA
638,Mourning Dove,Zenaida macroura,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
639,Turkey Vulture,Cathartes aura,2017-09-26 18:15,PT Travis,3,37.1193451,-80.5680026,2017,US-VA
640,Hairy Woodpecker,Dryobates villosus,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
641,Eastern Wood-Pewee,Contopus virens,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
642,Carolina Chickadee,Poecile carolinensis,2017-09-26 18:15,PT Travis,3,37.1193451,-80.5680026,2017,US-VA
643,European Starling,Sturnus vulgaris,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
644,Gray Catbird,Dumetella carolinensis,2017-09-26 18:15,PT Travis,2,37.1193451,-80.5680026,2017,US-VA
645,Northern Mockingbird,Mimus polyglottos,2017-09-26 18:15,PT Travis,2,37.1193451,-80.5680026,2017,US-VA
646,Veery,Catharus fuscescens,2017-09-26 18:15,"3101 N Trinidad St, Arlington US-VA (38.8984,-77.1633)",1,38.898413,-77.163256,2017,US-VA
647,American Robin,Turdus migratorius,2017-09-26 18:15,PT Travis,27,37.1193451,-80.5680026,2017,US-VA
648,House Finch,Haemorhous mexicanus,2017-09-26 18:15,PT Travis,3,37.1193451,-80.5680026,2017,US-VA
649,American Goldfinch,Spinus tristis,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
650,Song Sparrow,Melospiza melodia,2017-09-26 18:15,PT Travis,2,37.1193451,-80.5680026,2017,US-VA
651,Eastern Towhee,Pipilo erythrophthalmus,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
652,Common Grackle,Quiscalus quiscula,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
653,Magnolia Warbler,Setophaga magnolia,2017-09-26 18:15,PT Travis,1,37.1193451,-80.5680026,2017,US-VA
654,White-breasted Nuthatch,Sitta carolinensis,2017-09-26 18:09,US-VA-Fairfax-10512 Assembly Dr - 38.8611x-77.3086,1,38.861115,-77.308553,2017,US-VA
655,Tufted Titmouse,Baeolophus bicolor,2017-09-26 18:05,Rugby Avenue,1,38.0451508,-78.4815753,2017,US-VA
656,Indigo Bunting,Passerina cyanea,2017-09-26 18:05,Rugby Avenue,1,38.0451508,-78.4815753,2017,US-VA
657,Canada Goose,Branta canadensis,2017-09-26 18:02,Belle Haven Park--Picnic Area,70,38.7798,-77.0524,2017,US-VA
658,Blue-winged Teal,Spatula discors,2017-09-26 18:02,Belle Haven Park--Picnic Area,15,38.7798,-77.0524,2017,US-VA
659,Gadwall,Mareca strepera,2017-09-26 18:02,Belle Haven Park--Picnic Area,2,38.7798,-77.0524,2017,US-VA
660,Mallard,Anas platyrhynchos,2017-09-26 18:02,Belle Haven Park--Picnic Area,100,38.7798,-77.0524,2017,US-VA
661,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2017-09-26 18:02,Belle Haven Park--Picnic Area,2,38.7798,-77.0524,2017,US-VA
662,American Black Duck,Anas rubripes,2017-09-26 18:02,Belle Haven Park--Picnic Area,1,38.7798,-77.0524,2017,US-VA
663,Pied-billed Grebe,Podilymbus podiceps,2017-09-26 18:02,Belle Haven Park--Picnic Area,14,38.7798,-77.0524,2017,US-VA
664,Ring-billed Gull,Larus delawarensis,2017-09-26 18:02,Belle Haven Park--Picnic Area,400,38.7798,-77.0524,2017,US-VA
665,Caspian Tern,Hydroprogne caspia,2017-09-26 18:02,Belle Haven Park--Picnic Area,10,38.7798,-77.0524,2017,US-VA
666,Forster's Tern,Sterna forsteri,2017-09-26 18:02,Belle Haven Park--Picnic Area,10,38.7798,-77.0524,2017,US-VA
667,Double-crested Cormorant,Phalacrocorax auritus,2017-09-26 18:02,Belle Haven Park--Picnic Area,20,38.7798,-77.0524,2017,US-VA
668,Great Blue Heron,Ardea herodias,2017-09-26 18:02,Belle Haven Park--Picnic Area,5,38.7798,-77.0524,2017,US-VA
669,Great Egret,Ardea alba,2017-09-26 18:02,Belle Haven Park--Picnic Area,24,38.7798,-77.0524,2017,US-VA
670,Bald Eagle,Haliaeetus leucocephalus,2017-09-26 18:02,Belle Haven Park--Picnic Area,1,38.7798,-77.0524,2017,US-VA
671,Red-bellied Woodpecker,Melanerpes carolinus,2017-09-26 18:02,Belle Haven Park--Picnic Area,1,38.7798,-77.0524,2017,US-VA
672,Palm Warbler,Setophaga palmarum,2017-09-26 18:02,Belle Haven Park--Picnic Area,1,38.7798,-77.0524,2017,US-VA
673,Downy Woodpecker,Dryobates pubescens,2017-09-26 18:00,US-VA-Henrico-9408 Brightway Ct - 37.6461x-77.5548,1,37.646087,-77.554786,2017,US-VA
674,Common Yellowthroat,Geothlypis trichas,2017-09-26 17:55,Algonkian Regional Park,1,39.0620525,-77.3790391,2017,US-VA
675,Chestnut-sided Warbler,Setophaga pensylvanica,2017-09-26 17:55,Algonkian Regional Park,1,39.0620525,-77.3790391,2017,US-VA
676,Eastern Bluebird,Sialia sialis,2017-09-26 17:38,2914 Richard Buck S,6,37.242483,-76.765581,2017,US-VA
677,Ruby-throated Hummingbird,Archilochus colubris,2017-09-26 17:30,"103 Elizabeth Court, South Boston, VA",1,36.7040983,-78.8905478,2017,US-VA
678,Brown Thrasher,Toxostoma rufum,2017-09-26 17:30,"103 Elizabeth Court, South Boston, VA",1,36.7040983,-78.8905478,2017,US-VA
679,Chipping Sparrow,Spizella passerina,2017-09-26 17:30,"103 Elizabeth Court, South Boston, VA",3,36.7040983,-78.8905478,2017,US-VA
680,Summer Tanager,Piranga rubra,2017-09-26 17:30,"103 Elizabeth Court, South Boston, VA",1,36.7040983,-78.8905478,2017,US-VA
681,Rose-breasted Grosbeak,Pheucticus ludovicianus,2017-09-26 17:30,"103 Elizabeth Court, South Boston, VA",1,36.7040983,-78.8905478,2017,US-VA
682,Common Raven,Corvus corax,2017-09-26 17:16,Headquarters Rd,1,38.8152683,-78.640244,2017,US-VA
683,Eastern Meadowlark,Sturnella magna,2017-09-26 17:16,Headquarters Rd,1,38.8152683,-78.640244,2017,US-VA
684,Rock Pigeon,Columba livia,2017-09-26 17:15,Charlottesville High School,1,38.0528899,-78.4764361,2017,US-VA
685,Fish Crow,Corvus ossifragus,2017-09-26 17:15,Charlottesville High School,1,38.0528899,-78.4764361,2017,US-VA
686,Yellow-throated Vireo,Vireo flavifrons,2017-09-26 17:00,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",1,38.5756822,-78.1044245,2017,US-VA
687,wren sp.,Troglodytidae sp.,2017-09-26 17:00,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",1,38.5756822,-78.1044245,2017,US-VA
688,Cedar Waxwing,Bombycilla cedrorum,2017-09-26 16:45,Wilkins Lake,4,39.1685118,-78.1604907,2017,US-VA
689,Black Vulture,Coragyps atratus,2017-09-26 16:40,US-Virginia-Gloucester Courthouse-4849 Rosewell Dr - 37.337x-76.59,1,37.336951,-76.5895081,2017,US-VA
690,American Kestrel,Falco sparverius,2017-09-26 16:39,Wilmer Mt Rd Loop,3,38.507758,-79.55079,2017,US-VA
691,Vesper Sparrow,Pooecetes gramineus,2017-09-26 16:39,Wilmer Mt Rd Loop,1,38.507758,-79.55079,2017,US-VA
692,Cooper's Hawk,Accipiter cooperii,2017-09-26 16:30,Governor's Land,1,37.2491193,-76.820097,2017,US-VA
693,Ruby-crowned Kinglet,Regulus calendula,2017-09-26 16:30,Governor's Land,1,37.2491193,-76.820097,2017,US-VA
694,Black-and-white Warbler,Mniotilta varia,2017-09-26 16:30,Governor's Land,2,37.2491193,-76.820097,2017,US-VA
695,American Redstart,Setophaga ruticilla,2017-09-26 16:30,Governor's Land,1,37.2491193,-76.820097,2017,US-VA
696,Pine Warbler,Setophaga pinus,2017-09-26 16:30,Governor's Land,2,37.2491193,-76.820097,2017,US-VA
697,Killdeer,Charadrius vociferus,2017-09-26 15:38,Silver Lake,3,38.4231295,-78.9399259,2017,US-VA
698,Bank Swallow,Riparia riparia,2017-09-26 15:38,Silver Lake,3,38.4231295,-78.9399259,2017,US-VA
699,Cliff Swallow,Petrochelidon pyrrhonota,2017-09-26 15:38,Silver Lake,1,38.4231295,-78.9399259,2017,US-VA
700,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,2017-09-26 15:30,Old Trail Golf Course,1,38.056945,-78.7171268,2017,US-VA
701,House Wren,Troglodytes aedon,2017-09-26 15:30,Old Trail Golf Course,3,38.056945,-78.7171268,2017,US-VA
702,Field Sparrow,Spizella pusilla,2017-09-26 15:30,Old Trail Golf Course,5,38.056945,-78.7171268,2017,US-VA
703,Ruddy Turnstone,Arenaria interpres,2017-09-26 15:27,CBBT--South Thimble Island (#1),2,36.9645004,-76.1134033,2017,US-VA
704,Sanderling,Calidris alba,2017-09-26 15:27,CBBT--South Thimble Island (#1),2,36.9645004,-76.1134033,2017,US-VA
705,Herring Gull,Larus argentatus,2017-09-26 15:27,CBBT--South Thimble Island (#1),6,36.9645004,-76.1134033,2017,US-VA
706,Great Black-backed Gull,Larus marinus,2017-09-26 15:27,CBBT--South Thimble Island (#1),87,36.9645004,-76.1134033,2017,US-VA
707,Royal Tern,Thalasseus maximus,2017-09-26 15:27,CBBT--South Thimble Island (#1),6,36.9645004,-76.1134033,2017,US-VA
708,Sandwich Tern,Thalasseus sandvicensis,2017-09-26 15:27,CBBT--South Thimble Island (#1),59,36.9645004,-76.1134033,2017,US-VA
709,Brown Pelican,Pelecanus occidentalis,2017-09-26 15:27,CBBT--South Thimble Island (#1),12,36.9645004,-76.1134033,2017,US-VA
710,Peregrine Falcon,Falco peregrinus,2017-09-26 15:27,CBBT--South Thimble Island (#1),3,36.9645004,-76.1134033,2017,US-VA
711,falcon sp.,Falco sp.,2017-09-26 15:27,CBBT--South Thimble Island (#1),1,36.9645004,-76.1134033,2017,US-VA
712,Lesser Black-backed Gull,Larus fuscus,2017-09-26 15:16,**BACK BAY NWR,6,36.672127,-75.915661,2017,US-VA
713,Common Tern,Sterna hirundo,2017-09-26 15:16,**BACK BAY NWR,1,36.672127,-75.915661,2017,US-VA
714,Red-shouldered Hawk,Buteo lineatus,2017-09-26 15:00,Oak Marr Park,1,38.8762561,-77.3139882,2017,US-VA
715,warbler sp. (Parulidae sp.),Parulidae sp.,2017-09-26 15:00,Oak Marr Park,1,38.8762561,-77.3139882,2017,US-VA
716,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),2017-09-26 14:30,Cavitt's Creek Park,5,37.1712944,-81.5110338,2017,US-VA
